"Client","Country","Date Month","Uniques","Time Watched Minutes","Avg Min per Unique","Video Starts","Sessions"
"Canela","Argentina","Apr-2023",3223,533133.6666666666,165.41534801944357,37593,7732
"Canela","Austria","Apr-2023",1,0,0,1,1
"Canela","Belize","Apr-2023",92,20769.45,225.75489130434784,1630,668
"Canela","Bolivia","Apr-2023",1539,160295.41666666666,104.15556638509854,10631,2174
"Canela","Brazil","Apr-2023",414,28982.416666666668,70.00583735909824,2362,1091
"Canela","Canada","Apr-2023",27,2216.866666666667,82.10617283950617,158,84
"Canela","Chile","Apr-2023",4048,717526.7166666667,177.25462368247693,48924,10505
"Canela","China","Apr-2023",1,0.18333333333333332,0.18333333333333332,1,1
"Canela","Colombia","Apr-2023",83572,10675796.016666668,127.7436942596404,937544,207191
"Canela","Costa Rica","Apr-2023",1379,173828.6,126.05409717186367,13426,2238
"Canela","Cuba","Apr-2023",991,9340.766666666666,9.425597040026908,3862,792
"Canela","Dominican Republic","Apr-2023",2926,513860.61666666664,175.61880268853952,39395,13591
"Canela","Ecuador","Apr-2023",5981,1069672.4166666667,178.8450788608371,71660,16940
"Canela","Egypt","Apr-2023",1,0,0,1,1
"Canela","El Salvador","Apr-2023",1295,156330.5,120.71853281853282,11452,1606
"Canela","France","Apr-2023",4,6.166666666666667,1.5416666666666667,8,8
"Canela","Germany","Apr-2023",3,13.55,4.516666666666667,6,6
"Canela","Greece","Apr-2023",1,0,0,1,1
"Canela","Guatemala","Apr-2023",1600,122831.26666666666,76.76954166666667,10883,1976
"Canela","Haiti","Apr-2023",45,39.78333333333333,0.884074074074074,57,47
"Canela","Honduras","Apr-2023",1032,129408.01666666666,125.3953649870801,11727,2517
"Canela","India","Apr-2023",1,3.033333333333333,3.033333333333333,1,0
"Canela","Iran","Apr-2023",4,6.183333333333334,1.5458333333333334,8,8
"Canela","Ireland","Apr-2023",3,45.18333333333333,15.06111111111111,4,4
"Canela","Japan","Apr-2023",1,1.4,1.4,2,1
"Canela","Mexico","Apr-2023",141907,14955143.866666667,105.38693557517718,1420621,220178
"Canela","Morocco","Apr-2023",1,0.2833333333333333,0.2833333333333333,1,1
"Canela","Netherlands","Apr-2023",2,19.1,9.55,6,6
"Canela","Nicaragua","Apr-2023",556,35922.583333333336,64.60896282973621,3885,631
