"Country","Date Month","Video Type","Uniques","Time Watched Minutes","Avg Min per Unique","Video Starts","Sessions"
"Argentina","Apr-2024","Bumper / Promo",1,0,0,1,1
"Argentina","Aug-2024","Bumper / Promo",3,3.683333333333333,1.2277777777777776,3,3
"Argentina","Feb-2024","Bumper / Promo",35,239.8,6.851428571428571,156,73
"Argentina","Jan-2024","Bumper / Promo",37,168.85,4.563513513513513,111,61
"Argentina","Jan-2025","Bumper / Promo",1,7.45,7.45,2,2
"Argentina","Jul-2024","Bumper / Promo",4,2.466666666666667,0.6166666666666667,5,5
"Argentina","Jun-2024","Bumper / Promo",2,0,0,2,2
"Argentina","Mar-2024","Bumper / Promo",21,79.93333333333334,3.8063492063492066,62,42
"Argentina","May-2024","Bumper / Promo",14,17.416666666666668,1.244047619047619,14,14
"Argentina","Nov-2024","Bumper / Promo",7,5.35,0.7642857142857142,8,8
"Argentina","Oct-2024","Bumper / Promo",6,6.766666666666667,1.1277777777777778,6,6
"Argentina","Sep-2024","Bumper / Promo",7,37.31666666666667,5.3309523809523816,10,10
"Belize","Feb-2024","Bumper / Promo",1,1.8,1.8,4,2
"Belize","Jan-2024","Bumper / Promo",1,0,0,2,1
"Belize","Mar-2024","Bumper / Promo",2,2.5,1.25,3,2
"Bolivia","Aug-2024","Bumper / Promo",1,0.8166666666666667,0.8166666666666667,1,1
"Bolivia","Feb-2024","Bumper / Promo",9,76.36666666666666,8.485185185185184,47,15
"Bolivia","Jan-2024","Bumper / Promo",11,128.8,11.70909090909091,82,30
"Bolivia","Jun-2024","Bumper / Promo",1,0,0,1,1
"Bolivia","Mar-2024","Bumper / Promo",8,14.166666666666666,1.7708333333333333,17,10
"Bolivia","May-2024","Bumper / Promo",9,11.55,1.2833333333333334,10,10
"Bolivia","Nov-2024","Bumper / Promo",1,1.4666666666666666,1.4666666666666666,1,1
"Bolivia","Oct-2024","Bumper / Promo",7,9.033333333333333,1.2904761904761906,8,8
"Bolivia","Sep-2024","Bumper / Promo",2,3.466666666666667,1.7333333333333334,2,2
"Brazil","Mar-2024","Bumper / Promo",1,0.5,0.5,1,1
"Brazil","May-2024","Bumper / Promo",1,8.45,8.45,1,1
"Chile","Apr-2024","Bumper / Promo",1,0,0,1,1
