"Country","Date Month","Client","Uniques","Time Watched Minutes","Avg Min per Unique","Video Starts","Sessions"
"Afghanistan","Apr-2024","Canela",54,0.8333333333333334,0.0154320987654321,4,130
"Afghanistan","Aug-2024","Canela",129,0,0,0,331
"Afghanistan","Dec-2024","Canela",4,0,0,0,5
"Afghanistan","Feb-2024","Canela",39,102.76666666666667,2.635042735042735,19,108
"Afghanistan","Jan-2024","Canela",12,33.96666666666667,2.8305555555555557,20,53
"Afghanistan","Jan-2025","Canela",3,0,0,0,3
"Afghanistan","Jul-2024","Canela",79,0,0,0,225
"Afghanistan","Jun-2024","Canela",74,0,0,0,164
"Afghanistan","Mar-2024","Canela",11,0,0,1,21
"Afghanistan","May-2024","Canela",48,0,0,0,101
"Afghanistan","Nov-2024","Canela",16,0,0,0,21
"Afghanistan","Oct-2024","Canela",58,10.716666666666667,0.18477011494252873,3,157
"Afghanistan","Sep-2024","Canela",25,0,0,0,66
"Albania","Apr-2024","Canela",35,2.3,0.06571428571428571,2,45
"Albania","Aug-2024","Canela",46,0.21666666666666667,0.004710144927536232,2,77
"Albania","Dec-2024","Canela",2,0,0,0,3
"Albania","Feb-2024","Canela",18,2.75,0.1527777777777778,2,40
"Albania","Jan-2024","Canela",16,0,0,0,44
"Albania","Jan-2025","Canela",1,0,0,0,4
"Albania","Jul-2024","Canela",37,0,0,0,53
"Albania","Jun-2024","Canela",25,0,0,0,50
"Albania","Mar-2024","Canela",24,0,0,0,35
"Albania","May-2024","Canela",24,0.75,0.03125,3,38
"Albania","Nov-2024","Canela",17,2.0166666666666666,0.11862745098039215,2,17
"Albania","Oct-2024","Canela",48,0,0,0,66
"Albania","Sep-2024","Canela",37,0,0,1,58
"Algeria","Apr-2024","Canela",487,913.7166666666667,1.87621492128679,147,1160
"Algeria","Aug-2024","Canela",509,34.63333333333333,0.06804191224623445,7,1321
"Algeria","Dec-2024","Canela",57,0,0,0,274
"Algeria","Feb-2024","Canela",404,498.26666666666665,1.2333333333333334,203,982
"Algeria","Jan-2024","Canela",173,234.83333333333334,1.357418111753372,74,512
"Algeria","Jan-2025","Canela",39,0,0,0,289
"Algeria","Jul-2024","Canela",476,64.75,0.13602941176470587,40,1189
"Algeria","Jun-2024","Canela",502,131.81666666666666,0.26258300132802126,35,1191
"Algeria","Mar-2024","Canela",151,96.58333333333333,0.6396247240618101,61,439
"Algeria","May-2024","Canela",441,490.81666666666666,1.112962962962963,60,1250
"Algeria","Nov-2024","Canela",164,2.8,0.017073170731707315,1,510
"Algeria","Oct-2024","Canela",435,23.133333333333333,0.05318007662835249,11,1088
"Algeria","Sep-2024","Canela",341,61.03333333333333,0.17898338220918866,14,927
"American Samoa","Apr-2024","Canela",5,0,0,0,6
"American Samoa","Aug-2024","Canela",3,0,0,0,5
"American Samoa","Feb-2024","Canela",5,0.7,0.13999999999999999,1,13
"American Samoa","Jul-2024","Canela",4,0,0,0,9
"American Samoa","Jun-2024","Canela",6,0,0,0,13
"American Samoa","May-2024","Canela",3,0,0,0,6
"American Samoa","Nov-2024","Canela",1,0,0,0,1
"American Samoa","Oct-2024","Canela",10,0,0,0,15
"American Samoa","Sep-2024","Canela",2,0,0,0,4
"Andorra","Apr-2024","Canela",25,0,0,0,30
"Andorra","Aug-2024","Canela",15,0,0,0,23
"Andorra","Feb-2024","Canela",20,0,0,0,43
"Andorra","Jan-2024","Canela",17,42.61666666666667,2.506862745098039,2,60
"Andorra","Jan-2025","Canela",3,0,0,0,13
"Andorra","Jul-2024","Canela",14,0,0,0,16
"Andorra","Jun-2024","Canela",17,0,0,0,22
"Andorra","Mar-2024","Canela",23,25.133333333333333,1.0927536231884059,3,35
