"Country","Date Month","Video Type","Uniques","Time Watched Minutes","Avg Min per Unique","Sessions"
"Albania","Dec-2024","Ad / Placeholder Slate",3,0.23333333333333334,0.07777777777777778,3
"Albania","Nov-2024","Ad / Placeholder Slate",4,1.2333333333333332,0.30833333333333335,4
"Albania","Sep-2024","Ad / Placeholder Slate",2,0.35,0.175,2
"Algeria","Aug-2024","Ad / Placeholder Slate",6,5.8,0.9666666666666667,6
"Algeria","Dec-2024","Ad / Placeholder Slate",5,1.8000000000000003,0.36,6
"Algeria","Jan-2025","Ad / Placeholder Slate",8,13.683333333333337,1.7104166666666667,9
"Algeria","Nov-2024","Ad / Placeholder Slate",6,5.766666666666667,0.9611111111111111,6
"Algeria","Oct-2024","Ad / Placeholder Slate",5,2.9499999999999997,0.5900000000000001,5
"Algeria","Sep-2024","Ad / Placeholder Slate",9,9.05,1.0055555555555555,10
"Angola","Dec-2024","Ad / Placeholder Slate",1,0.16666666666666666,0.16666666666666666,1
"Angola","Oct-2024","Ad / Placeholder Slate",1,2.216666666666667,2.216666666666667,1
"Argentina","Aug-2024","Ad / Placeholder Slate",1678,3165.233333333341,1.8863130711164082,2085
"Argentina","Dec-2024","Ad / Placeholder Slate",730,1424.6333333333312,1.9515525114155252,1038
"Argentina","Jan-2025","Ad / Placeholder Slate",738,1377.8166666666634,1.8669602529358627,1059
"Argentina","Nov-2024","Ad / Placeholder Slate",1652,3313.2000000000107,2.0055690072639223,2317
"Argentina","Oct-2024","Ad / Placeholder Slate",2195,4517.016666666677,2.0578663629460894,3008
"Argentina","Sep-2024","Ad / Placeholder Slate",2018,3786.766666666683,1.8764948794185663,2598
"Aruba","Dec-2024","Ad / Placeholder Slate",1,1,1,1
"Aruba","Oct-2024","Ad / Placeholder Slate",1,1,1,1
"Aruba","Sep-2024","Ad / Placeholder Slate",3,4,1.3333333333333333,4
"Australia","Aug-2024","Ad / Placeholder Slate",43,62.04999999999999,1.4430232558139535,51
"Australia","Dec-2024","Ad / Placeholder Slate",1,0.6333333333333333,0.6333333333333333,1
"Australia","Jan-2025","Ad / Placeholder Slate",26,58.33333333333333,2.2435897435897436,28
"Australia","Nov-2024","Ad / Placeholder Slate",3,1.5833333333333333,0.5277777777777778,3
"Australia","Oct-2024","Ad / Placeholder Slate",11,5.5,0.5,11
"Australia","Sep-2024","Ad / Placeholder Slate",19,13.266666666666667,0.6982456140350878,23
"Austria","Oct-2024","Ad / Placeholder Slate",1,3.816666666666667,3.816666666666667,1
"Azerbaijan","Dec-2024","Ad / Placeholder Slate",1,0.75,0.75,1
"Azerbaijan","Nov-2024","Ad / Placeholder Slate",1,0.06666666666666667,0.06666666666666667,1
"Azerbaijan","Oct-2024","Ad / Placeholder Slate",2,0.7833333333333333,0.39166666666666666,2
"Bahamas","Oct-2024","Ad / Placeholder Slate",1,1,1,1
"Bangladesh","Aug-2024","Ad / Placeholder Slate",2,0.41666666666666663,0.20833333333333334,2
"Bangladesh","Dec-2024","Ad / Placeholder Slate",4,1.4,0.35,4
"Bangladesh","Jan-2025","Ad / Placeholder Slate",4,0.8,0.2,4
"Bangladesh","Nov-2024","Ad / Placeholder Slate",3,0.6,0.19999999999999998,3
"Bangladesh","Oct-2024","Ad / Placeholder Slate",4,3.2666666666666666,0.8166666666666667,4
"Bangladesh","Sep-2024","Ad / Placeholder Slate",1,1,1,1
"Barbados","Aug-2024","Ad / Placeholder Slate",1,0.6166666666666667,0.6166666666666667,1
"Barbados","Oct-2024","Ad / Placeholder Slate",1,0.016666666666666666,0.016666666666666666,1
"Belarus","Aug-2024","Ad / Placeholder Slate",1,0.1,0.1,1
"Belgium","Aug-2024","Ad / Placeholder Slate",5,152.0166666666667,30.403333333333336,84
"Belgium","Dec-2024","Ad / Placeholder Slate",2,0.2,0.1,2
"Belgium","Jan-2025","Ad / Placeholder Slate",1,7,7,1
"Belgium","Oct-2024","Ad / Placeholder Slate",2,2.1333333333333333,1.0666666666666667,3
"Belize","Aug-2024","Ad / Placeholder Slate",2,1.8333333333333335,0.9166666666666666,2
"Belize","Dec-2024","Ad / Placeholder Slate",1,0.05,0.05,1
"Belize","Jan-2025","Ad / Placeholder Slate",3,1.4166666666666667,0.47222222222222227,3
"Belize","Oct-2024","Ad / Placeholder Slate",1,1,1,1
"Belize","Sep-2024","Ad / Placeholder Slate",1,1.5666666666666667,1.5666666666666667,1
"Benin","Sep-2024","Ad / Placeholder Slate",1,0.03333333333333333,0.03333333333333333,1
"Bolivia","Aug-2024","Ad / Placeholder Slate",543,1711.2333333333331,3.1514426028238183,857
"Bolivia","Dec-2024","Ad / Placeholder Slate",210,1130.4666666666656,5.383174603174603,484
"Bolivia","Jan-2025","Ad / Placeholder Slate",147,852.0166666666661,5.796031746031746,361
"Bolivia","Nov-2024","Ad / Placeholder Slate",455,1469.6666666666638,3.23003663003663,738
"Bolivia","Oct-2024","Ad / Placeholder Slate",733,1920.9999999999966,2.620736698499318,1091
"Bolivia","Sep-2024","Ad / Placeholder Slate",605,1682.549999999999,2.7810743801652893,869
"Bosnia and Herzegovina","Jan-2025","Ad / Placeholder Slate",1,0.03333333333333333,0.03333333333333333,1
"Bosnia and Herzegovina","Sep-2024","Ad / Placeholder Slate",1,5,5,1
"Botswana","Nov-2024","Ad / Placeholder Slate",1,0.016666666666666666,0.016666666666666666,1
"Brazil","Aug-2024","Ad / Placeholder Slate",168,2922.0333333333374,17.393055555555556,1418
"Brazil","Dec-2024","Ad / Placeholder Slate",375,17642.799999999963,47.047466666666665,5505
"Brazil","Jan-2025","Ad / Placeholder Slate",304,15959.333333333303,52.49780701754386,5233
"Brazil","Nov-2024","Ad / Placeholder Slate",433,14226.266666666634,32.855119322555815,4918
"Brazil","Oct-2024","Ad / Placeholder Slate",380,4541.283333333341,11.950745614035089,2266
"Brazil","Sep-2024","Ad / Placeholder Slate",285,2647.916666666668,9.29093567251462,1523
"Brunei","Aug-2024","Ad / Placeholder Slate",1,5,5,1
"Bulgaria","Aug-2024","Ad / Placeholder Slate",1,2.4833333333333334,2.4833333333333334,2
"Bulgaria","Dec-2024","Ad / Placeholder Slate",3,0.45,0.15,3
"Bulgaria","Oct-2024","Ad / Placeholder Slate",3,11.1,3.6999999999999997,5
"Bulgaria","Sep-2024","Ad / Placeholder Slate",1,5.316666666666666,5.316666666666666,1
"Cambodia","Sep-2024","Ad / Placeholder Slate",1,0.03333333333333333,0.03333333333333333,1
"Canada","Aug-2024","Ad / Placeholder Slate",40,4057.2000000000007,101.42999999999999,1169
"Canada","Dec-2024","Ad / Placeholder Slate",37,4169,112.67567567567568,1017
"Canada","Jan-2025","Ad / Placeholder Slate",29,3617.166666666667,124.72988505747126,918
"Canada","Nov-2024","Ad / Placeholder Slate",33,4319.033333333334,130.87979797979798,1078
"Canada","Oct-2024","Ad / Placeholder Slate",43,4590.366666666666,106.75271317829457,1247
"Canada","Sep-2024","Ad / Placeholder Slate",43,4186.000000000001,97.34883720930233,1194
"Cape Verde","Nov-2024","Ad / Placeholder Slate",1,0.08333333333333333,0.08333333333333333,1
"Caribbean Netherlands","Jan-2025","Ad / Placeholder Slate",1,1,1,1
