ciclo,total_agentes,timestamp
1,0,2025-03-21T19:02:05.035018
2,0,2025-03-21T19:02:05.035161
3,0,2025-03-21T19:02:05.035254
4,0,2025-03-21T19:02:05.035337
5,0,2025-03-21T19:02:05.037367
6,0,2025-03-21T19:02:05.037809
7,0,2025-03-21T19:02:05.038174
8,0,2025-03-21T19:02:05.038518
9,0,2025-03-21T19:02:05.038845
10,0,2025-03-21T19:02:05.039164
11,0,2025-03-21T19:02:05.039474
12,0,2025-03-21T19:02:05.039787
13,0,2025-03-21T19:02:05.040100
14,0,2025-03-21T19:02:05.040424
15,0,2025-03-21T19:02:05.040738
16,0,2025-03-21T19:02:05.041049
17,0,2025-03-21T19:02:05.041362
18,0,2025-03-21T19:02:05.041670
19,0,2025-03-21T19:02:05.041985
20,0,2025-03-21T19:02:05.042300
21,0,2025-03-21T19:02:05.042603
22,0,2025-03-21T19:02:05.042901
23,0,2025-03-21T19:02:05.043205
24,0,2025-03-21T19:02:05.043531
25,0,2025-03-21T19:02:05.043839
26,0,2025-03-21T19:02:05.044146
27,0,2025-03-21T19:02:05.044450
28,0,2025-03-21T19:02:05.044748
29,0,2025-03-21T19:02:05.045050
30,0,2025-03-21T19:02:05.045357
31,0,2025-03-21T19:02:05.045667
32,0,2025-03-21T19:02:05.045978
33,0,2025-03-21T19:02:05.046309
34,0,2025-03-21T19:02:05.046618
35,0,2025-03-21T19:02:05.046922
36,0,2025-03-21T19:02:05.047233
37,0,2025-03-21T19:02:05.047537
38,0,2025-03-21T19:02:05.047856
39,0,2025-03-21T19:02:05.048160
40,0,2025-03-21T19:02:05.048471
41,0,2025-03-21T19:02:05.048775
42,0,2025-03-21T19:02:05.049081
43,0,2025-03-21T19:02:05.049382
44,0,2025-03-21T19:02:05.049684
45,0,2025-03-21T19:02:05.049994
46,0,2025-03-21T19:02:05.050305
47,0,2025-03-21T19:02:05.050607
48,0,2025-03-21T19:02:05.050913
49,0,2025-03-21T19:02:05.051219
50,0,2025-03-21T19:02:05.051517
51,0,2025-03-21T19:02:05.051810
52,0,2025-03-21T19:02:05.052107
53,0,2025-03-21T19:02:05.052408
54,0,2025-03-21T19:02:05.052721
55,0,2025-03-21T19:02:05.053029
56,0,2025-03-21T19:02:05.053346
57,0,2025-03-21T19:02:05.053668
58,0,2025-03-21T19:02:05.053981
59,0,2025-03-21T19:02:05.054299
60,0,2025-03-21T19:02:05.054612
61,0,2025-03-21T19:02:05.054933
62,0,2025-03-21T19:02:05.055252
63,0,2025-03-21T19:02:05.055560
64,0,2025-03-21T19:02:05.055873
65,0,2025-03-21T19:02:05.056204
66,0,2025-03-21T19:02:05.056522
67,0,2025-03-21T19:02:05.056865
68,0,2025-03-21T19:02:05.057185
69,0,2025-03-21T19:02:05.057525
70,0,2025-03-21T19:02:05.057953
71,0,2025-03-21T19:02:05.058299
72,0,2025-03-21T19:02:05.058629
73,0,2025-03-21T19:02:05.058945
74,0,2025-03-21T19:02:05.059279
75,0,2025-03-21T19:02:05.059607
76,0,2025-03-21T19:02:05.059922
77,0,2025-03-21T19:02:05.060252
78,0,2025-03-21T19:02:05.060569
79,0,2025-03-21T19:02:05.060915
80,0,2025-03-21T19:02:05.061235
81,0,2025-03-21T19:02:05.061558
82,0,2025-03-21T19:02:05.061876
83,0,2025-03-21T19:02:05.062219
84,0,2025-03-21T19:02:05.062547
85,0,2025-03-21T19:02:05.062887
86,0,2025-03-21T19:02:05.063214
87,0,2025-03-21T19:02:05.063533
88,0,2025-03-21T19:02:05.063850
89,0,2025-03-21T19:02:05.064167
90,0,2025-03-21T19:02:05.064486
91,0,2025-03-21T19:02:05.064798
92,0,2025-03-21T19:02:05.065109
93,0,2025-03-21T19:02:05.065423
94,0,2025-03-21T19:02:05.065741
95,0,2025-03-21T19:02:05.066057
96,0,2025-03-21T19:02:05.066373
97,0,2025-03-21T19:02:05.066692
98,0,2025-03-21T19:02:05.067006
99,0,2025-03-21T19:02:05.067323
100,0,2025-03-21T19:02:05.067633
101,0,2025-03-21T19:02:05.067946
102,0,2025-03-21T19:02:05.068261
103,0,2025-03-21T19:02:05.068578
104,0,2025-03-21T19:02:05.068892
105,0,2025-03-21T19:02:05.069204
106,0,2025-03-21T19:02:05.069518
107,0,2025-03-21T19:02:05.069837
108,0,2025-03-21T19:02:05.070151
109,0,2025-03-21T19:02:05.070474
110,0,2025-03-21T19:02:05.070803
111,0,2025-03-21T19:02:05.071124
112,0,2025-03-21T19:02:05.071445
113,0,2025-03-21T19:02:05.071762
114,0,2025-03-21T19:02:05.072077
115,0,2025-03-21T19:02:05.072395
116,0,2025-03-21T19:02:05.072711
117,0,2025-03-21T19:02:05.073031
118,0,2025-03-21T19:02:05.073350
119,0,2025-03-21T19:02:05.073667
120,0,2025-03-21T19:02:05.073982
121,0,2025-03-21T19:02:05.074324
122,0,2025-03-21T19:02:05.074645
123,0,2025-03-21T19:02:05.074963
124,0,2025-03-21T19:02:05.075281
125,0,2025-03-21T19:02:05.075608
126,0,2025-03-21T19:02:05.075930
127,0,2025-03-21T19:02:05.076260
128,0,2025-03-21T19:02:05.076587
129,0,2025-03-21T19:02:05.076910
130,0,2025-03-21T19:02:05.077234
131,0,2025-03-21T19:02:05.077554
132,0,2025-03-21T19:02:05.077873
133,0,2025-03-21T19:02:05.078196
134,0,2025-03-21T19:02:05.078517
135,0,2025-03-21T19:02:05.078845
136,0,2025-03-21T19:02:05.079181
137,0,2025-03-21T19:02:05.079509
138,0,2025-03-21T19:02:05.079836
139,0,2025-03-21T19:02:05.080164
140,0,2025-03-21T19:02:05.080498
141,0,2025-03-21T19:02:05.080837
142,0,2025-03-21T19:02:05.081166
143,0,2025-03-21T19:02:05.081511
144,0,2025-03-21T19:02:05.081858
145,0,2025-03-21T19:02:05.082216
146,0,2025-03-21T19:02:05.082556
147,0,2025-03-21T19:02:05.082947
148,0,2025-03-21T19:02:05.083299
149,0,2025-03-21T19:02:05.083659
150,0,2025-03-21T19:02:05.084015
151,0,2025-03-21T19:02:05.084383
152,0,2025-03-21T19:02:05.084723
153,0,2025-03-21T19:02:05.085062
154,0,2025-03-21T19:02:05.085403
155,0,2025-03-21T19:02:05.085758
156,0,2025-03-21T19:02:05.086111
157,0,2025-03-21T19:02:05.086458
158,0,2025-03-21T19:02:05.086811
159,0,2025-03-21T19:02:05.087166
160,0,2025-03-21T19:02:05.087523
161,0,2025-03-21T19:02:05.087876
162,0,2025-03-21T19:02:05.088235
163,0,2025-03-21T19:02:05.088584
164,0,2025-03-21T19:02:05.088924
165,0,2025-03-21T19:02:05.089282
166,0,2025-03-21T19:02:05.089647
167,0,2025-03-21T19:02:05.090019
