timestamp,ciclo,tipo_mensaje,posicion,dato_hash,emisor_visible
2025-03-21T22:18:57.464376,1,descubrimiento,"(0, 0, 0)",6c3b83,H-001
2025-03-21T22:18:57.464376,1,descubrimiento,"(0, 0, 0)",6c3b83,H-002
2025-03-21T22:18:57.465116,2,descubrimiento,"(0, 0, 0)",6c3b83,H-001
2025-03-21T22:18:57.465116,2,descubrimiento,"(0, 0, 0)",6c3b83,H-002
2025-03-21T22:18:57.465116,2,descubrimiento,"(0, 0, 0)",6c3b83,H-001
2025-03-21T22:18:57.465116,2,descubrimiento,"(-1, 1, 0)",5922f5,H-002
2025-03-21T22:18:57.465979,3,descubrimiento,"(0, 0, 0)",6c3b83,H-001
2025-03-21T22:18:57.465979,3,descubrimiento,"(0, 0, 0)",6c3b83,H-002
2025-03-21T22:18:57.465979,3,descubrimiento,"(0, 0, 0)",6c3b83,H-001
2025-03-21T22:18:57.465979,3,descubrimiento,"(-1, 1, 0)",5922f5,H-002
2025-03-21T22:18:57.465979,3,descubrimiento,"(0, 2, 0)",4b8d61,H-001
2025-03-21T22:18:57.465979,3,descubrimiento,"(-1, 1, 0)",5922f5,H-002
2025-03-21T22:18:57.466350,4,descubrimiento,"(0, 0, 0)",6c3b83,H-001
2025-03-21T22:18:57.466350,4,descubrimiento,"(0, 0, 0)",6c3b83,H-002
2025-03-21T22:18:57.466350,4,descubrimiento,"(0, 0, 0)",6c3b83,H-001
2025-03-21T22:18:57.466350,4,descubrimiento,"(-1, 1, 0)",5922f5,H-002
2025-03-21T22:18:57.466350,4,descubrimiento,"(0, 2, 0)",4b8d61,H-001
2025-03-21T22:18:57.466350,4,descubrimiento,"(-1, 1, 0)",5922f5,H-002
2025-03-21T22:18:57.466350,4,descubrimiento,"(0, 2, 0)",4b8d61,H-001
2025-03-21T22:18:57.466350,4,descubrimiento,"(-1, 1, 0)",5922f5,H-002
2025-03-21T22:18:57.466639,5,descubrimiento,"(0, 0, 0)",6c3b83,H-001
2025-03-21T22:18:57.466639,5,descubrimiento,"(0, 0, 0)",6c3b83,H-002
2025-03-21T22:18:57.466639,5,descubrimiento,"(0, 0, 0)",6c3b83,H-001
2025-03-21T22:18:57.466639,5,descubrimiento,"(-1, 1, 0)",5922f5,H-002
2025-03-21T22:18:57.466639,5,descubrimiento,"(0, 2, 0)",4b8d61,H-001
2025-03-21T22:18:57.466639,5,descubrimiento,"(-1, 1, 0)",5922f5,H-002
2025-03-21T22:18:57.466639,5,descubrimiento,"(0, 2, 0)",4b8d61,H-001
2025-03-21T22:18:57.466639,5,descubrimiento,"(-1, 1, 0)",5922f5,H-002
2025-03-21T22:18:57.466639,5,descubrimiento,"(0, 2, 0)",4b8d61,H-001
2025-03-21T22:18:57.466639,5,descubrimiento,"(0, 0, 0)",6c3b83,H-002
2025-03-21T22:18:57.469710,6,descubrimiento,"(0, 0, 0)",6c3b83,H-001
2025-03-21T22:18:57.469710,6,descubrimiento,"(0, 0, 0)",6c3b83,H-002
2025-03-21T22:18:57.469710,6,descubrimiento,"(0, 0, 0)",6c3b83,H-001
